Business ID,Name,Type,Is Chain,Chain,Parent name,Other notes
tQfLGoolUMu2J0igcWcoZg,Tokyo Hotel,h,0,,,
33Xc1Bk_gkSY5xb2doQ7Ng,The Tremont Chicago Hotel at Magnificent Mile,h,0,,,
2nnXespKBBNtDQTtrumNFg,Inn At Lincoln Park,h,0,,,
SNuJYJewLhunxlhEezo15w,Carleton Hotel,h,0,,,
XZEBxlz9ZoP76CrYvEsL1A,Holiday Inn Express Chicago - Magnificent Mile,h,1,Holiday Inn,IHG,
FfG-PPZCz1sB4SKZoqsZkQ,The Whitehall Hotel,h,0,,,
yiXTDN-dfNq3NKXZPKgsaw,Hilton Chicago/Magnificent Mile Suites,h,1,Hilton,Hilton,
SEyUJ4t_8K4fD0ZIQnbmrA,Hotel Indigo Chicago Downtown Gold Coast,h,1,Indigo,IHG,
qgpP1FOFrlssColqP2u-xA,Holiday Inn Chicago-Downtown,h,1,Holiday Inn,IHG,
tS1N1-P7QorwyRsNk3VMJA,Seneca Hotel,h,None,,,
WA6coAKLoKnMWMKYKOibLQ,City Suites Hotel Chicago,h,2,Broughton Hotels,Broughton Hotels,
DWRJ-OU-t1Gi1hebNBKMHA,Travelodge by Wyndham Downtown Chicago,h,1,Wyndham,Wyndham,
QnWFR5zQuLGL12EM_SZb8Q,The Congress Plaza Hotel & Convention Center,h,0,,,
SfRCNiCTPfGwzHEM_hCVZQ,Hilton Garden Inn Chicago Downtown/Magnificent Mile,h,1,Hilton Garden Inn,Hilton,
Y4wBzuFAMwJM2WymFEdmag,Chicago South Loop Hotel,h,0,,,
gAZVMESj-7Va8zntfZCvNQ,Wheeler Mansion Hotel,h,0,,,
qmF64R44N-4gOHqze10TXg,Embassy Suites by Hilton Chicago Downtown Magnificent Mile,h,1,Embassy Suites,Hilton,
Zxjq-Rrv0VVdD3vktiDIkw,Hampton Inn & Suites Chicago-Downtown,h,1,Hampton Inn,Hilton,
S_wqr0_GkrNOvgVVgp7__w,PUBLIC Chicago,h,1,PUBLIC,PUBLIC,
ia27sl8koyz1K3sX8kT5ig,DoubleTree by Hilton Hotel Chicago - Magnificent Mile,h,1,DoubleTree,Hilton,
T_9IQ4nXSacMzrynX3pWJA,Courtyard by Marriott Chicago Downtown/Magnificent Mile,h,1,Courtyard,Marriott,
Ut6mvxVP5eN-Kiu7KaLrlg,The Westin Michigan Avenue Chicago,h,1,Westin,Marriott,
RTbDvRlBaKyim0MJOzEkPQ,Silversmith Hotel Chicago Downtown,h,0,,,
ojCaK0Z7nSMB8gPGbyjzAw,Staypineapple, An Iconic Hotel,1,Staypineapple,Staypineapple,
Yc5wFFyMhyYsxI2Z4bhkng,Red Roof Inn Chicago Downtown - Magnificent Mile,h,1,Red Roof Inn,Westmont Hospitality,
HwJkHmF__Y2VApOA31GqQw,Amalfi Hotel Chicago,h,0,,,Now called “Kinzie Hotel”
wJJi0pIHTus5d_DWoz9TKQ,Chicago O'Hare Garden Hotel,h,1,Hilton,Hilton,
57PyRW-iahNX_Ur8icAfxg,Fairmont Chicago, Millennium Park,1,Fairmont,Fairmont,
purV29eUqYRBrVvgqeyt_w,Best Western River North Hotel,h,1,Best Western,Best Western,
BqJ10kFkEJi5jdjRfyURow,Hyatt Regency McCormick Place,h,1,Hyatt Regency,Hyatt,
D3tzOb9LneB10eNNooZyBg,Best Western Grant Park Hotel,h,1,Best Western,Best Western,
C5QxZbnHUdihyeUPzcZAVw,The Ritz-Carlton - Chicago,h,1,Ritz-Carlton,Marriott,
sGhw4H2gzW0psZom0QuZMw,Millennium Knickerbocker Chicago,h,1,Millennium,Millennium Hotels,
eR7cmuIRnvYFrexno_wlcQ,Omni Chicago Hotel,h,1,Omni,Omni,
JF1adUKdsNebw6-8MABATg,Hotel 71,h,None,,,Bought by Wyndham
ubNzerxb8ox5bmA2EGkKBg,Kimpton Hotel Allegro Chicago,h,1,Kimpton,IHG,
ztuO0tozkkocR_o2OXDuQw,W Chicago - City Center,h,1,Marriott,Marriott,
HTBxJPblBauNNCm_qSQjSQ,Radisson Blu Aqua,h,1,Radisson,Radisson,
7Hj22TFkgAeRCXjDQqb1oA,Holiday Inn Chicago-Mart Plaza River North,h,1,Holiday Inn,IHG,
SrNUBeLzCCBdwdUF9qepqg,InterContinental Chicago Magnificent Mile,h,1,Intercontinental,IHG,
mgvWzZBNNHtVP5Xd5Mz39A,Chicago Marriott Downtown Magnificent Mile,h,1,Marriott,Marriott,
mLdvQGAFadIJkOlEoHsI7w,Hilton - Chicago,h,1,Hilton,Hilton,
P0d8m5E67oBc0BpVUh4nKQ,Victor Hotel,h,None,,,
DC1sD5TsqljP_BIAV6S-pw,The James Chicago,h,1,The James,Denihan Hospitality,
YIfXuMhZgZf3xNnRWjyDYA,Embassy Suites by Hilton Chicago Downtown,h,1,Embassy Suites,Hilton,
ezxzzWj-EIigt0p4wlbLbw,Sheraton Grand Chicago,h,1,Sheraton,Marriott,
YfzsjiJl3m-Yza64aIL7SQ,W Chicago - Lakeshore,h,1,Marriott,Marriott,
lDVAVEPaVSqHzJ2a43_IMA,Hard Rock Hotel Chicago,h,1,Hard Rock Hotel,Hard Rock Cafe,May be co-owned or co-operated by several groups; unclear
uy2bscWexAcIhOQJ_rn3cQ,Hotel Essex,h,0,,,
DxfjGOEtFJQoq6m8WjYl4Q,Warwick Allerton - Chicago,h,1,Warwick,Warwick,
iIrBXLRm4Ga1AjvthhrLOw,Hampton Inn Chicago Downtown/Magnificent Mile,h,1,Hampton Inn,Hilton,
31yYZQjEIyYE0N3p_vmoOA,The Drake, a Hilton Hotel,1,Hilton,Hilton,
LDze56Nd8rRljNDMaD1sbA,Dana Hotel & Spa,h,3,Eurostars,Hotusa,
cXKeY0NugFvCSHRWJcOq9w,The Congress Plaza Hotel & Convention Center,h,0,,,
NkOir65b_YAAQVlJR_zmJA,Hyatt Regency Chicago,h,1,Hyatt,Hyatt,
2m_KBLL9Bk_dwZ5n5b11nw,Palmer House a Hilton Hotel,h,1,Hilton,Hilton,
p9aMkgTdOKhsjkkv4G0QBw,Hotel Felix,h,0,,,
pSLh_XyV_3QS1hNsBOGHiQ,Old Chicago Inn,h,0,,,
fH7EwQ9j_Ab1NJNYMoHA3w,theWit Chicago - a DoubleTree by Hilton Hotel,h,1,DoubleTree,Hilton,
rpP9iZsT3NC-Z4pUtQGoiA,Sutton Place Hotel,h,None,,,
gCdjyQeE0uRKCh7mVmnZzQ,Best Western Plus Hawthorne Terrace Hotel,h,1,Best Western,Best Western,
PyG0aSX3pBx0hzoSH20FnA,La Quinta by Wyndham Chicago Downtown,h,1,La Quinta,Wyndham,
PRQGk-UbR7FkUFYvSOiHmA,Hotel Lincoln,h,2,Hyatt,Hyatt,
LUmAQaRrAleKdXZd8On16Q,The Westin Chicago River North,h,1,Westin,Marriott,
S_qmb0Uzm_cNoRjSvZ6y1w,The Talbott Hotel,h,1,Hyatt,Hyatt,
t5JK4OZzCuetIrJXdHLntg,River Hotel,h,0,,,
wLjR0DkA4zxu8iqbUQc0Og,Crowne Plaza Chicago West Loop,h,1,Crowne Plaza,IHG,
h-U_YfWBK2u_Vqo8AVA4KQ,Heart O' Chicago Motel,h,0,,,
Gh4Tb2qCBUCOd5r7jqKnGA,Chicago Marriott at Medical District/UIC,h,1,Marriott,Marriott,
BISUDalmPulSzHvsO3PhDA,Ramada Chicago - Lake Shore Drive,h,1,Ramada,Wyndham,
g51qDl6fQhgat-kFTrcbug,DoubleTree by Hilton Hotel Chicago - Magnificent Mile,h,1,Hilton,Hilton,
bem-1CTpTNpArpCtThTmFw,Milshire Hotel,h,0,,,
pbEiXam9YJL3neCYHGwLUA,Alinea,r,0,,,
HOJqzz1WvOmeR9oESJ4d9A,Hot Doug's,r,0,,,
AkfSndWBxnTn-LpmiL8aLA,Tru,r,0,,,
WBU0yq9J8qiYQfI_fh2P1Q,Crisp,r,0,,,
bNXpwTSavHBV9zBk2lUlGA,Schwa,r,0,,,
t3pYu8eidmb2ZmexHRHT_Q,Green Mill,r,0,,,
boE4Ahsssqic7o5wQLI04w,The Purple Pig,r,0,,,
IuFEm-19YYh49T5ZlvwkDA,90 Miles Cuban Café,r,1,90 Miles,,
CQ75CQSyrsmb-S3UAwCHpw,Wildfire,r,1,Wildfire,,
IvdOI86_CSCRFpid2atnyA,Davanti Enoteca,r,1,Davanti Enoteca,,
euO3-H92LCivH2B0CQPlnw,Chicago q,r,0,,,
LYppbvgJlBG0SqjSKFiFGg,Sapori Trattoria,r,0,,,
43rd1LKcZRIunySzbMsyLQ,Fogo de Chão Brazilian Steakhouse,r,1,Fogo de Chao,,
0fFLUKl71vv3eNV2xhikEw,Spacca Napoli,r,0,,,
8j97C2qR95tvpbGtoFxEAw,Noon O Kabab,r,0,,,
5OtAmmypXvuTbkFBCziF_Q,Le Colonial Chicago,r,0,,,
eHtnZ0ISo63_0zr9rFotjw,Sprout,r,0,,,
JMa9cTNQA5mm4GbR2W8Oiw,Piccolo Sogno,r,0,,,
Z2nOMPedr7XYhgYhILJjEA,Piece Brewery and Pizzeria,r,0,,,
_b69OdBNLhysN1jFlYNQiA,The Bongo Room,r,1,The Bongo Room,,
WaIbupMGDBi5B3SChsUH8A,Cafe 28,r,0,,,
3Mx2PM7v8qjqhgF3cDXxbQ,Texas de Brazil,r,1,,,
50gFzdVglOz88eFJ6v-26A,Glenn's Diner,r,0,,,
OKOfoisduqP24uK3WYvx7Q,Revolution Brewing,r,1,Revolution Brewing,,
0-rkPnrTODt_veJ_nMVT_w,Sabatino's Restaurant Chicago,r,0,,,
oEFJ29zAQaCNnQzebHQvpg,The Violet Hour,r,0,,,
oLM9piDKbj2PDgy-m3XEcQ,Calo Pizzeria Restaurant & Lounge,r,0,,,
sfWMOqUEp8S2adDeJp7Kzg,Carnivale,r,0,,,
dLS8GPg-K1O-zJ3VJAtiyg,India House Restaurant,r,0,,,
GEpXn9rtTMtIj5NsGFiNQw,The Bad Apple,r,0,,,
NGfbRjWoqUh2fGw8DU_pmA,Caro Mio,r,0,,,
jGiKIJCVLZHXQDSNnSLPsw,Xoco,r,0,,,
vvhfPV-Llkd4fE2SHuLVvA,The Gage,r,0,,,
mlhHPnHmjO2_ypcP5Vc9Zw,Coast Sushi Bar,r,0,,,
xXSMc3pDWTRQHLgjBTtTUg,Mayan Palace Mexican Cuisine,r,0,,,
FCcgXODBs6O7MGH3VZNyLQ,Superdawg Drive-In,r,0,,,
F7IQngaDDBgYvhA3U31q-g,Irazú Costa Rican Restaurant & Catering,r,0,,,
_UJ3KqtHIHjExbAg-iIGUA,Greek Islands Restaurant,r,1,Greek Islands,,
yBRaSkuYwFhYEoucDyD0lA,Lao Sze Chuan,r,1,Lao Sze Chuan,,
Rlg07N7Sl1qTzjc7zc6Whg,Icosium Kafé,r,0,,,
o4NcUfco7JxOcyfKFWyAhg,Mercat a la Planxa,r,0,,,
hylBw5ND7XyPldM6BN28vw,Geja's Cafe,r,0,,,
UQ3cGi3GdBljE3i2_qLcBQ,Artopolis,r,0,,,
DXwSYgiXqIVNdO9dazel6w,Pequod's Pizzeria,r,0,,,
N7juvW8YoFIj7sEBzVF8GQ,Simply Pasteur,r,0,,,
cQnY_VneZisfUAqcbuEuKg,Nuevo Leon Restaurant,r,0,,,
LlHEzxQTiiLJokn2tli35A,Graham Elliot,r,0,,,Bought by Gideon Sweet
AqgG-1aD6JYj9D6OmBWO3w,Frontera Grill,r,1,Frontera,,
XgGUnYs2bjbbNvBefFtWxA,The Pasta Bowl,r,1,The Pasta Bowl,,
NYhIkpTi4ffmkAu4o2aKuA,Opart Thai House Restaurant,r,1,Opart Thai,,
o54U2VkQama8FI30qDkWvw,Chicago Diner,r,1,Chicago Diner,,
7mCeefskNUtOkzxt_MLHKA,3rd Coast Cafe,r,0,,,
8d_DiHWB-pjBVW3a7D8EWg,Sunda Chicago,r,0,,,
DBtXy8wcPsVr80oFfz-CbA,Nana,r,0,,,
Pcg4FtfbvSMMwrYuE1yVjQ,Mastro's Steakhouse,r,1,Mastro's,,
JDNZxz0ud7zhuPo5pqznMA,Demera Ethiopian Restaurant,r,0,,,
CwPi6NVuJIZZx4IBcTekFQ,Yolk - South Loop,r,1,Yolk,,
O6uWHgJzylSjWjPSJKGhnQ,Sultan's Market,r,1,Sultan's Market,,
Au1f1UMmKcgOXLsg4v56xw,Little Bucharest Bistro,r,0,,,
6PQTqW9j-sriDBQyQCJbjw,Mia Francesca,r,1,Mia Francesca,,
1g52-6WzlhjIOpNAsBjPJg,Sushi X,r,0,,,
dKcO9OQ44RPRlkWe-vToFA,Shaw's Crab House,r,1,Shaw's Crab House,,
KomhK0JD5cleEW55YTw7MQ,Sun Wah Bar-B-Que,r,0,,,
tCkwBTuEFvhuaBoEUWqbuQ,Meli Cafe & Juice Bar,r,0,,,
qkfBgSCbekH3DHTanVL1_w,Indie Cafe,r,0,,,
sR4EOfPuI-at41uIxIZPhw,Hopleaf,r,0,,,
n3VjBryfinjRG1W3LWsPBQ,Fox & Obel,r,0,,,
z_qEuUuRWIq4O-YufXHf1w,Giordano's,r,1,Giordano's,,
hvHVAs2lhaoYo_rxOUuSTQ,La Villa Restaurant,r,0,,,
m5_GCJP2W4zEJnyVgxa3eA,Longman & Eagle,r,0,,,
_n3OmwreEGPQmiHKklsD8w,San Soo Gab San,r,0,,,
28gamO9SwWMHxwB0nP_plQ,La Pasadita,r,0,,,
ALwH81_sqskLmwfWS-_eeQ,Tank Noodle,r,0,,,
q-_jW5lauONk_58S-wVIrg,Bonsoiree,r,0,,,
n-mj6IJkWyCu4BuD2dvm0A,Ruth's Chris Steak House,r,1,Ruth's Chris Steak House,,
sDYjKyI_67eUhFAqVneYjA,Gilt Bar,r,1,,,
tW2jfL-qMccAYZSghPBbHA,The Art of Pizza,r,0,,,
juop6_3dLfPDo-un-ZuXrg,Fogo 2 Go,r,0,,,
qqax04alS3UPx0Yp4jJNDQ,Milk & Honey Cafe,r,0,,,
rnjz2KNgsQ2YaC_kjeuuAQ,Kinzie Chophouse,r,0,,,
1QKqtC4vML3QhkrSzwR_tQ,Wakamono,r,0,,,
xjZ9eqYrzMrl2v6_1Kv6hA,Alliance Bakery & Cafe,r,0,,,
ms5ge1XY9-Alu7HkybAMdQ,Giordano's,r,1,Giordano's,,
Btjt4D8dJ-yEdsts3Tj5Hg,Anteprima,r,0,,,
h-CNRJ-bqSZvz75J4A9cFg,Wilde Bar & Restaurant,r,0,,,
4wreIFjaPMppyEnzKHbozg,Grand Lux Cafe,r,1,Grand Lux Cafe,,
ptRZlXxngjFj5gghwPNNHA,RJ Grunts,r,0,,,
-pO0hsi0xlF4FwqLGJUizg,Uncommon Ground,r,1,Uncommon Ground,,
oCTlReyKjJxKPFYfCurxxQ,Lockdown Bar & Grill,r,0,,,
d6UbRb9W5eA1yL-DuVZ8ug,ZED451,r,0,,,
LMaoM2Ue2BR_HI9ba3JsZg,The Publican,r,0,,,
u_Ze5HkcNXgECvYvKS0HLA,Bin 36,r,0,,,
2WoMT3wSpp9vxZeTv6u-cw,Las Tablas Colombian Steakhouse,r,1,Las Tablas,,
6gZTET0y7ARZMrbJRmI2mw,The Fifty/50,r,0,,,
ElCbMJRjgu9LDj4MxOKXew,Big Jones,r,0,,,
RYw_no9ohtCg09aKorVffg,Wishbone,r,0,,,
08X_5WTOVNvk4SgPRKBjjQ,Garcia's Restaurant,r,1,Garcia’s,,
ibreTMGGaQSanZttUchjKg,Gino's East - Magnificent Mile,r,1,Gino’s East,,
1iehp7Z2kejBq3RSeb4Dxg,Brazzaz,r,0,,,
mCHto10PBQOKnefm7gholg,90 Miles Cuban Café,r,1,90 Miles,,
89tZ6uoPgMktsiP9P6eq2g,Vegan Plate,r,1,Vegan Plate,,
Z-ksrSX8PfQocdJrE_TE1w,Lido Banquets & Events,r,0,,,
zy_Jk1riXfYBcZiMDFupQw,Fido To Go,r,0,,,Food truck only
Dg57YSmA4IlLF5_YgDwKFg,El Indio Cocina Mexicana,r,0,,,
zI0E_yruu58ea-xq9aHi-w,Nuevo Leon Restaurant,r,0,,,
NPV19j5PWmUHqDoz919Kvw,Sano's Pizzeria,r,0,,,
sQLAv6i5UQl6bpI9JINerQ,Private Dining Rooms of Spiaggia,r,0,,,
YXs_ukQ7b2epscfxIMrNxQ,Doostan Restaurant,r,0,,,
s0M7_FoBGVAP-Wmo3_oq6g,Saigon Bistro,r,0,,,
1P7hewkNzMuHR5zlHaTF9A,Lahore Food & Grill,r,0,,,
Lr4tZOsttQT-BgFtUkUTaQ,TáKoz,r,0,,,
RRflazDtBkqqpvEz2hbV2w,Yellow Rose Cafe,r,0,,,
EvAA9CrfSAcltW1_UM6Suw,Colossal Crab & Millers Pizza,r,0,,,
pSSo4eMTttfoFyfRUFSbiQ,Beavers Coffee & Donuts,r,0,,,Food truck only
KaFSO0j50RdPEcIwpxwM8A,Elias Tacos,r,0,,,
XqJ-TLSuIdYF0wKGK3F06w,Tacos Palacio,r,0,,,
v9qEDxi3t-P0CmGWAkkGvw,Taco Bell,r,1,Taco Bell,,
iBA2L7fbTJi2PcrjDaOfoQ,Sammy's Kitchen,r,0,,,
iczRuUiNgI3QsAxDEcdyvA,Restaurante El Alamo,r,0,,,
0jQB40_EoCL5a5PtnGzAjQ,Jimmy John's,r,1,Jimmy John’s,,
TkD2PSou68kEwdg0BWmFAw,Uncle Remus,r,1,Uncle Reamus Saucy Fried Chicken,,
ksccA8XUDV6b2h-PmuZKPg,Revolution Brewing - Kedzie Brewery,r,1,Revolution Brewing,,
WSdmu6o6H4udkjbs6K5n5w,Calabria Imports,r,0,,,
0Cc0SBLU0joTqsnbitQ7Ng,El Milagro,r,1,El Milagro Tortillas,,
lOLS1M0WmBlR7DV1J34lfA,San Luis,r,0,,,
6XVXM78gBuU3gpq2hTOgJA,Cobblestones Bar & Grill,r,0,,,
fHJRHfeLQl-MxUSdUkI9rg,Cafezazzo , Breakfast- Lunch-Carry Out,0,,,
_KI0Y2UO68kJuTFUKucaXQ,Rubino's Seafood,r,0,,,
XvP-kanjF6SpchosRk0N5g,Tacos Garcia,r,0,,,
​,,,,,,
